profile_id,platform,device_model,drm_system,security_level,max_resolution,max_hdcp,video_codecs,secure_decoder,hdr_formats,source,verified_at,notes
synth-07-03,Windows,SYNTHETIC WINDOWS PROFILE 3,PlayReady,SL2000,1080p,1.4,AVC|HEVC,unknown,none,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-07-04,Windows,SYNTHETIC WINDOWS PROFILE 4,PlayReady,SL2000,1080p,1.4,AVC|HEVC,unknown,none,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-07-05,Windows,SYNTHETIC WINDOWS PROFILE 5,PlayReady,SL2000,1080p,1.4,AVC|HEVC,unknown,none,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-08-01,Fire TV,SYNTHETIC FIRE TV PROFILE 1,Widevine,L1,2160p,2.2,AVC|HEVC|VP9,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-08-02,Fire TV,SYNTHETIC FIRE TV PROFILE 2,Widevine,L1,2160p,2.2,AVC|HEVC|VP9,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-08-03,Fire TV,SYNTHETIC FIRE TV PROFILE 3,Widevine,L1,2160p,2.2,AVC|HEVC|VP9,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-08-04,Fire TV,SYNTHETIC FIRE TV PROFILE 4,Widevine,L1,2160p,2.2,AVC|HEVC|VP9,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-08-05,Fire TV,SYNTHETIC FIRE TV PROFILE 5,Widevine,L1,2160p,2.2,AVC|HEVC|VP9,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-09-01,Smart TV,SYNTHETIC SMART TV PROFILE 1,PlayReady,SL3000,2160p,2.2,AVC|HEVC,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-09-02,Smart TV,SYNTHETIC SMART TV PROFILE 2,PlayReady,SL3000,2160p,2.2,AVC|HEVC,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-09-03,Smart TV,SYNTHETIC SMART TV PROFILE 3,PlayReady,SL3000,2160p,2.2,AVC|HEVC,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-09-04,Smart TV,SYNTHETIC SMART TV PROFILE 4,PlayReady,SL3000,2160p,2.2,AVC|HEVC,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-09-05,Smart TV,SYNTHETIC SMART TV PROFILE 5,PlayReady,SL3000,2160p,2.2,AVC|HEVC,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-10-01,QA compatibility,SYNTHETIC QA COMPATIBILITY PROFILE 1,Multi-DRM,varies,1080p,2.2,AVC,yes,none,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-10-02,QA compatibility,SYNTHETIC QA COMPATIBILITY PROFILE 2,Multi-DRM,varies,1080p,2.2,AVC,yes,none,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-10-03,QA compatibility,SYNTHETIC QA COMPATIBILITY PROFILE 3,Multi-DRM,varies,1080p,2.2,AVC,yes,none,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-10-04,QA compatibility,SYNTHETIC QA COMPATIBILITY PROFILE 4,Multi-DRM,varies,1080p,2.2,AVC,yes,none,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-10-05,QA compatibility,SYNTHETIC QA COMPATIBILITY PROFILE 5,Multi-DRM,varies,1080p,2.2,AVC,yes,none,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
